WIlmanNameForPhylo;species;year;naxes;beta_total;beta_repl;beta_diff;vol_protected;vol_unprotected;disp_protected;disp_unprotected;delta_vol;delta_disp;Group;Activity-Nocturnal;BodyMass-Value;Gen_Length;Migr;RL_Status_FI_2019;Habitat_Specializ;DietSpecializ;MainHabitatOriginal;MainHabitat6;MeanLatitude;Order;Family
Turdus iliacus;Turdus iliacus;2006s;7;0,381;0,319;0,062;20,72676295;19,20947091;0,770508913;0,766863961;1,517292046;0,003644951;bird;0;61,2;6,1;S;0;0,876923077;0,777777778;FO;mixedForest;56,44037384;PASSERIFORMES;Turdidae
Turdus iliacus;Turdus iliacus;2012s;7;0,378;0,369;0,009;34,2558774;33,89134301;0,742257201;0,743202249;0,364534386;-0,000945048;bird;0;61,2;6,1;S;0;0,876923077;0,777777778;FO;mixedForest;56,44037384;PASSERIFORMES;Turdidae
Turdus iliacus;Turdus iliacus;2018s;7;0,415;0,185;0,229;43,07192972;32,18447227;0,748500288;0,756463813;10,88745745;-0,007963525;bird;0;61,2;6,1;S;0;0,876923077;0,777777778;FO;mixedForest;56,44037384;PASSERIFORMES;Turdidae
Turdus viscivorus;Turdus viscivorus;2000s;6;0,997;0,979;0,018;0,149485805;0,154972272;0,714393542;0,733160122;-0,005486467;-0,01876658;bird;0;117,37;3,7;S;0;0,911111111;0,733333333;CF;coniferous;56,60673242;PASSERIFORMES;Turdidae
Turdus viscivorus;Turdus viscivorus;2006s;7;0,685;0,683;0,001;0,955644949;0,953577321;0,644938707;0,65263248;0,002067627;-0,007693773;bird;0;117,37;3,7;S;0;0,911111111;0,733333333;CF;coniferous;56,60673242;PASSERIFORMES;Turdidae
Turdus viscivorus;Turdus viscivorus;2012s;7;0,517;0,438;0,079;3,500785183;3,147824681;0,626252089;0,625120397;0,352960502;0,001131692;bird;0;117,37;3,7;S;0;0,911111111;0,733333333;CF;coniferous;56,60673242;PASSERIFORMES;Turdidae
Turdus viscivorus;Turdus viscivorus;2018s;7;0,523;0,52;0,002;3,915338687;3,927554167;0,67670258;0,672682546;-0,01221548;0,004020033;bird;0;117,37;3,7;S;0;0,911111111;0,733333333;CF;coniferous;56,60673242;PASSERIFORMES;Turdidae
Bombycilla garrulus;Bombycilla garrulus;2000s;6;0,998;0,992;0,006;0,342990318;0,338664642;0,793616633;0,784024559;0,004325676;0,009592074;bird;0;54,41;4,6;S;0;0,952380952;0,844444444;CF;coniferous;59,70855493;PASSERIFORMES;Bombycillidae
Bombycilla garrulus;Bombycilla garrulus;2006s;6;0,421;0,401;0,021;92,09890574;89,72910865;0,687945367;0,686157418;2,36979709;0,001787949;bird;0;54,41;4,6;S;0;0,952380952;0,844444444;CF;coniferous;59,70855493;PASSERIFORMES;Bombycillidae
Bombycilla garrulus;Bombycilla garrulus;2012s;4;0,047;0,039;0,008;24798,7456;25000,07059;0,674525571;0,670510632;-201,324991;0,004014938;bird;0;54,41;4,6;S;0;0,952380952;0,844444444;CF;coniferous;59,70855493;PASSERIFORMES;Bombycillidae
Bombycilla garrulus;Bombycilla garrulus;2018s;6;0,608;0,605;0,003;12,89209081;12,94720749;0,67611228;0,672681095;-0,055116678;0,003431185;bird;0;54,41;4,6;S;0;0,952380952;0,844444444;CF;coniferous;59,70855493;PASSERIFORMES;Bombycillidae
Cuculus canorus;Cuculus canorus;2000s;7;0,698;0,686;0,012;4,407582306;4,488202838;0,726552649;0,737121142;-0,080620532;-0,010568494;bird;0;111,36;7;L;0;0,957142857;0,977777778;FO;mixedForest;56,69423649;CUCULIFORMES;Cuculidae
Cuculus canorus;Cuculus canorus;2006s;7;0,509;0,504;0,005;6,661329336;6,705851354;0,713185372;0,717228881;-0,044522018;-0,004043509;bird;0;111,36;7;L;0;0,957142857;0,977777778;FO;mixedForest;56,69423649;CUCULIFORMES;Cuculidae
Cuculus canorus;Cuculus canorus;2012s;7;0,34;0,336;0,004;10,74500464;10,80144396;0,644730745;0,638346535;-0,056439315;0,00638421;bird;0;111,36;7;L;0;0,957142857;0,977777778;FO;mixedForest;56,69423649;CUCULIFORMES;Cuculidae
Cuculus canorus;Cuculus canorus;2018s;7;0,363;0,283;0,08;10,63680164;9,641791847;0,663791546;0,658559269;0,995009792;0,005232277;bird;0;111,36;7;L;0;0,957142857;0,977777778;FO;mixedForest;56,69423649;CUCULIFORMES;Cuculidae
Ficedula hypoleuca;Ficedula hypoleuca;2000s;7;0,986;0,97;0,016;0,071203317;0,069018759;0,72924106;0,732342866;0,002184559;-0,003101806;bird;0;13,79;4,2;L;0;0,952380952;1;FO;mixedForest;56,06913365;PASSERIFORMES;Muscicapidae
Ficedula hypoleuca;Ficedula hypoleuca;2006s;7;0,331;0,32;0,012;16,39814813;16,63015573;0,710081407;0,7055273;-0,232007602;0,004554107;bird;0;13,79;4,2;L;0;0,952380952;1;FO;mixedForest;56,06913365;PASSERIFORMES;Muscicapidae
Ficedula hypoleuca;Ficedula hypoleuca;2012s;7;0,531;0,472;0,058;2,822862776;2,607195349;0,610375205;0,610333906;0,215667426;4,13E-05;bird;0;13,79;4,2;L;0;0,952380952;1;FO;mixedForest;56,06913365;PASSERIFORMES;Muscicapidae
Ficedula hypoleuca;Ficedula hypoleuca;2018s;7;0,482;0,456;0,026;5,23856274;5,419351276;0,689135366;0,67810792;-0,180788535;0,011027447;bird;0;13,79;4,2;L;0;0,952380952;1;FO;mixedForest;56,06913365;PASSERIFORMES;Muscicapidae
Grus grus;Grus grus;2000s;6;0,387;0,381;0,006;98,93094858;98,219704;0,683180118;0,692448454;0,711244574;-0,009268336;bird;0;5499,99;13,4;S;0;0,911111111;0,644444444;WE;water;56,64505649;GRUIFORMES;Gruidae
Grus grus;Grus grus;2006s;7;0,319;0,316;0,003;23,09424332;22,99930445;0,669532408;0,667625528;0,094938876;0,00190688;bird;0;5499,99;13,4;S;0;0,911111111;0,644444444;WE;water;56,64505649;GRUIFORMES;Gruidae
Grus grus;Grus grus;2012s;7;0,461;0,444;0,016;18,11484821;18,50641687;0,667238178;0,669796255;-0,391568662;-0,002558078;bird;0;5499,99;13,4;S;0;0,911111111;0,644444444;WE;water;56,64505649;GRUIFORMES;Gruidae
Grus grus;Grus grus;2018s;7;0,285;0,245;0,039;24,57919214;25,729422;0,658424477;0,665198723;-1,150229863;-0,006774246;bird;0;5499,99;13,4;S;0;0,911111111;0,644444444;WE;water;56,64505649;GRUIFORMES;Gruidae
Motacilla flava;Motacilla flava;2000s;7;0,624;0,617;0,007;9,464699434;9,366778551;0,715221477;0,709883875;0,097920883;0,005337602;bird;0;17,68;4,7;L;0;0,914285714;0,866666667;MM;other;60,2318803;PASSERIFORMES;Motacillidae
Motacilla flava;Motacilla flava;2006s;5;0,097;0,071;0,025;6552,402732;6729,918096;0,755907718;0,754636698;-177,5153635;0,001271021;bird;0;17,68;4,7;L;0;0,914285714;0,866666667;MM;other;60,2318803;PASSERIFORMES;Motacillidae
Motacilla flava;Motacilla flava;2012s;7;0,941;0,889;0,052;0,17834431;0,161583862;0,67885457;0,671997423;0,016760447;0,006857147;bird;0;17,68;4,7;L;0;0,914285714;0,866666667;MM;other;60,2318803;PASSERIFORMES;Motacillidae
Motacilla flava;Motacilla flava;2018s;7;0,417;0,383;0,034;13,95733335;14,56640967;0,72790272;0,72434884;-0,609076321;0,00355388;bird;0;17,68;4,7;L;0;0,914285714;0,866666667;MM;other;60,2318803;PASSERIFORMES;Motacillidae
Phylloscopus collybita;Phylloscopus collybita;2000s;4;0,044;0,042;0,001;27452,15479;27412,32695;0,74556837;0,737048324;39,82784682;0,008520047;bird;0;8,3;3,6;L;0;0,871428571;0,933333333;FO;mixedForest;54,40534436;PASSERIFORMES;Sylviidae
Phylloscopus collybita;Phylloscopus collybita;2006s;7;0,599;0,538;0,061;8,141236974;8,877829351;0,69945061;0,697693441;-0,736592378;0,001757169;bird;0;8,3;3,6;L;0;0,871428571;0,933333333;FO;mixedForest;54,40534436;PASSERIFORMES;Sylviidae
Phylloscopus collybita;Phylloscopus collybita;2012s;7;0,531;0,53;0;5,033779701;5,035846709;0,674473879;0,671567311;-0,002067009;0,002906568;bird;0;8,3;3,6;L;0;0,871428571;0,933333333;FO;mixedForest;54,40534436;PASSERIFORMES;Sylviidae
Phylloscopus collybita;Phylloscopus collybita;2018s;7;0,449;0,404;0,045;14,50419847;15,3740609;0,681014421;0,683680929;-0,86986243;-0,002666509;bird;0;8,3;3,6;L;0;0,871428571;0,933333333;FO;mixedForest;54,40534436;PASSERIFORMES;Sylviidae
Turdus pilaris;Turdus pilaris;2000s;7;0,588;0,585;0,004;17,90969739;17,8117436;0,789588792;0,79155474;0,097953784;-0,001965949;bird;0;106;5,3;S;0;0,903896104;0,933333333;FA;agric;55,72206231;PASSERIFORMES;Turdidae
Turdus pilaris;Turdus pilaris;2006s;7;0,307;0,266;0,041;50,6919177;53,2177582;0,787383369;0,78619405;-2,525840499;0,001189319;bird;0;106;5,3;S;0;0,903896104;0,933333333;FA;agric;55,72206231;PASSERIFORMES;Turdidae
Turdus pilaris;Turdus pilaris;2012s;7;0,32;0,316;0,004;35,85498757;36,0461433;0,710238577;0,709685984;-0,191155726;0,000552593;bird;0;106;5,3;S;0;0,903896104;0,933333333;FA;agric;55,72206231;PASSERIFORMES;Turdidae
Turdus pilaris;Turdus pilaris;2018s;7;0,287;0,277;0,01;91,10851595;90,06023215;0,750305916;0,747890935;1,048283805;0,002414981;bird;0;106;5,3;S;0;0,903896104;0,933333333;FA;agric;55,72206231;PASSERIFORMES;Turdidae
Anthus pratensis;Anthus pratensis;2000s;7;0,645;0,622;0,023;7,209803472;7,460157478;0,753688525;0,753350545;-0,250354007;0,00033798;bird;0;18,4;3,8;S;0;0,878195489;0,955555556;MM;other;59,47276289;PASSERIFORMES;Motacillidae
Anthus pratensis;Anthus pratensis;2006s;7;0,637;0,588;0,049;7,95891194;8,554555822;0,767162678;0,764669857;-0,595643882;0,002492822;bird;0;18,4;3,8;S;0;0,878195489;0,955555556;MM;other;59,47276289;PASSERIFORMES;Motacillidae
Anthus pratensis;Anthus pratensis;2012s;7;0,466;0,405;0,061;21,40635788;19,76526838;0,711581034;0,708701228;1,641089497;0,002879807;bird;0;18,4;3,8;S;0;0,878195489;0,955555556;MM;other;59,47276289;PASSERIFORMES;Motacillidae
