"species","year","naxes","beta_total","beta_repl","beta_diff","vol_protected","vol_unprotected","disp_protected","disp_unprotected","delta_vol","delta_disp"
"Odocoileus virginianus","2018s",7,0.586,0.553,0.032,0.0505711576930401,0.0483078253347995,0.411447134033321,0.412436173952166,0.0022633323582406,-0.000989039918844969
"Meles meles","2000s",5,0.248,0.233,0.015,19.8531731566866,20.1862863956216,0.378910979070155,0.383990542426678,-0.333113238934992,-0.0050795633565231
"Meles meles","2006s",5,0.087,0.084,0.003,28.2896366009659,28.2034072035721,0.31425552145393,0.310341819875057,0.0862293973937724,0.00391370157887316
"Meles meles","2012s",6,0.351,0.344,0.007,0.383443982941102,0.386613820463947,0.426564808324262,0.423585939319415,-0.00316983752284566,0.00297886900484678
"Meles meles","2018s",7,0.326,0.325,0.001,0.0324351350298645,0.0323951325479414,0.368564570423624,0.365177424717804,4.00024819230752e-05,0.00338714570582044
"Rangifer tarandus fennicus","2000s",5,0.087,0.064,0.023,50.9992589682622,49.8095351504369,0.303413988298031,0.294213079733392,1.1897238178253,0.00920090856463979
"Rangifer tarandus fennicus","2006s",5,0.082,0.057,0.025,53.6986910041427,52.2992550484502,0.335072192254303,0.336827634524775,1.39943595569248,-0.00175544227047203
"Rangifer tarandus fennicus","2012s",6,0.149,0.14,0.01,0.935792272536,0.945866129092549,0.222316063724766,0.225268402556106,-0.0100738565565486,-0.0029523388313403
"Rangifer tarandus fennicus","2018s",7,0.422,0.402,0.02,0.283596099861859,0.276339283737936,0.458782429815655,0.457488623785374,0.00725681612392326,0.00129380603028123
"Castor sp.","2000s",4,0.119,0.101,0.019,133.846627551923,131.232595663251,0.440440173660081,0.447710412055193,2.61403188867112,-0.00727023839511121
"Castor sp.","2018s",7,0.559,0.527,0.032,0.0190668283408426,0.0199325844249749,0.366716507277418,0.369619616913366,-0.000865756084132262,-0.00290310963594775
"Canis lupus","2000s",4,0.071,0.038,0.033,1330.35674606128,1285.95810086925,0.315237121735888,0.30974771719649,44.3986451920243,0.00548940453939822
"Canis lupus","2006s",6,0.339,0.33,0.009,2.4054234612938,2.379741018531,0.404166797634558,0.400581243531409,0.0256824427628009,0.00358555410314892
"Canis lupus","2012s",6,0.164,0.132,0.033,3.67463106327922,3.80778048023325,0.363223228329612,0.367923224459617,-0.133149416954035,-0.00469999613000466
"Canis lupus","2018s",7,0.461,0.426,0.036,0.0841312164782814,0.0803216314631334,0.336601993964096,0.333302120762557,0.00380958501514801,0.00329987320153863
"Pteromys volans","2000s",5,0.231,0.216,0.016,11.6521203863324,11.4493102578264,0.289369111346031,0.29131206703358,0.202810128505982,-0.00194295568754854
"Pteromys volans","2006s",5,0.11,0.102,0.008,85.3627042233603,84.6616872765059,0.452475894808521,0.44997128232133,0.701016946854352,0.00250461248719086
"Mustela putorius","2000s",5,0.187,0.183,0.005,0.86991079017102,0.86559576478988,0.206430539023501,0.202717474309821,0.00431502538114026,0.00371306471367974
"Mustela putorius","2018s",6,0.136,0.132,0.004,52.3369425234542,52.5688367862628,0.502365425254784,0.50338733911835,-0.231894262808545,-0.0010219138635662
"Gulo gulo","2000s",4,0.039,0.038,0.002,9462.77233883764,9480.23604622516,0.533403004766776,0.533800254715059,-17.4637073875238,-0.000397249948283163
"Gulo gulo","2006s",6,0.779,0.779,0,0.51058690378041,0.510629923259333,0.44601000270511,0.44170313306608,-4.30194789222682e-05,0.0043068696390306
"Gulo gulo","2012s",6,0.35,0.336,0.014,1.24049410781137,1.26144713422007,0.359738835866935,0.360282841796647,-0.0209530264086994,-0.000544005929711877
"Gulo gulo","2018s",7,0.543,0.534,0.01,0.0381314531524407,0.0376333077023355,0.389144065172304,0.390429446682279,0.000498145450105195,-0.00128538150997454
"Sus scrofa","2018s",6,0.305,0.294,0.011,3.46754984315082,3.42136908337748,0.392788221185224,0.389364855825251,0.0461807597733399,0.00342336535997312
